date,imf_code,region,cpi_index
2024-08-01,U019,americas,148.482
2024-09-01,U019,americas,148.838
2024-10-01,U019,americas,149.279
2024-11-01,U019,americas,149.483
2024-12-01,U019,americas,149.77
2025-01-01,U019,americas,149.927
2025-02-01,U019,americas,150.859
2025-03-01,U019,americas,151.463
2025-04-01,U019,americas,152.036
2025-05-01,U019,americas,152.478
2025-06-01,U019,americas,152.996
2025-07-01,U019,americas,153.373
2025-08-01,U019,americas,153.756
2025-09-01,U019,americas,154.238
2025-10-01,U019,americas,154.671
2025-11-01,U019,americas,154.496
2025-12-01,U019,americas,154.693
2026-01-01,U019,americas,155.761
2026-02-01,U019,americas,156.644
2026-03-01,U019,americas,158.304
2026-04-01,U019,americas,159.571
2011-01-01,U142,asia,79.182
2011-02-01,U142,asia,79.554
2011-03-01,U142,asia,79.71
2011-04-01,U142,asia,80.06
2011-05-01,U142,asia,80.371
2011-06-01,U142,asia,80.665
2011-07-01,U142,asia,81.184
2011-08-01,U142,asia,81.57
2011-09-01,U142,asia,82.023
2011-10-01,U142,asia,82.352
2011-11-01,U142,asia,82.433
2011-12-01,U142,asia,82.565
2012-01-01,U142,asia,83.211
2012-02-01,U142,asia,83.394
2012-03-01,U142,asia,83.735
2012-04-01,U142,asia,84.064
2012-05-01,U142,asia,84.14
2012-06-01,U142,asia,84.101
2012-07-01,U142,asia,84.405
2012-08-01,U142,asia,85.012
2012-09-01,U142,asia,85.455
2012-10-01,U142,asia,85.801
2012-11-01,U142,asia,85.981
2012-12-01,U142,asia,86.36
2013-01-01,U142,asia,87.09
2013-02-01,U142,asia,87.722
2013-03-01,U142,asia,87.599
2013-04-01,U142,asia,87.917
2013-05-01,U142,asia,87.886
2013-06-01,U142,asia,88.347
2013-07-01,U142,asia,88.907
2013-08-01,U142,asia,89.414
2013-09-01,U142,asia,89.974
2013-10-01,U142,asia,90.354
2013-11-01,U142,asia,90.598
2013-12-01,U142,asia,90.605
2014-01-01,U142,asia,91.073
2014-02-01,U142,asia,91.332
2014-03-01,U142,asia,91.37
2014-04-01,U142,asia,91.73
2014-05-01,U142,asia,91.953
2014-06-01,U142,asia,92.081
2014-07-01,U142,asia,92.57
2014-08-01,U142,asia,92.896
2014-09-01,U142,asia,93.185
2014-10-01,U142,asia,93.315
2014-11-01,U142,asia,93.279
2014-12-01,U142,asia,93.475
2015-01-01,U142,asia,93.617
2015-02-01,U142,asia,94.047
2015-03-01,U142,asia,94.051
2015-04-01,U142,asia,94.249
2015-05-01,U142,asia,94.413
2015-06-01,U142,asia,94.611
2015-07-01,U142,asia,94.948
2015-08-01,U142,asia,95.341
2015-09-01,U142,asia,95.54
2015-10-01,U142,asia,95.644
2015-11-01,U142,asia,95.756
2015-12-01,U142,asia,96.008
2016-01-01,U142,asia,96.35
2016-02-01,U142,asia,96.92
2016-03-01,U142,asia,96.777
2016-04-01,U142,asia,96.974
2016-05-01,U142,asia,97.033
2016-06-01,U142,asia,97.24
2016-07-01,U142,asia,97.566
2016-08-01,U142,asia,97.652
2016-09-01,U142,asia,97.995
2016-10-01,U142,asia,98.221
2016-11-01,U142,asia,98.338
2016-12-01,U142,asia,98.433
2017-01-01,U142,asia,99.086
2017-02-01,U142,asia,99.169
2017-03-01,U142,asia,99.186
2017-04-01,U142,asia,99.393
2017-05-01,U142,asia,99.502
2017-06-01,U142,asia,99.527
2017-07-01,U142,asia,99.771
2017-08-01,U142,asia,100.225
2017-09-01,U142,asia,100.586
2017-10-01,U142,asia,100.892
2017-11-01,U142,asia,101.183
2017-12-01,U142,asia,101.435
2018-01-01,U142,asia,102.007
2018-02-01,U142,asia,102.55
2018-03-01,U142,asia,102.14
2018-04-01,U142,asia,102.298
2018-05-01,U142,asia,102.46
2018-06-01,U142,asia,102.738
2018-07-01,U142,asia,103.181
2018-08-01,U142,asia,103.9
2018-09-01,U142,asia,104.636
2018-10-01,U142,asia,105.147
2018-11-01,U142,asia,104.986
2018-12-01,U142,asia,104.946
2019-01-01,U142,asia,105.096
2019-02-01,U142,asia,105.679
2019-03-01,U142,asia,105.769
2019-04-01,U142,asia,106.207
2019-05-01,U142,asia,106.479
2019-06-01,U142,asia,106.58
2019-07-01,U142,asia,107.084
2019-08-01,U142,asia,107.665
2019-09-01,U142,asia,108.24
2019-10-01,U142,asia,109.031
2019-11-01,U142,asia,109.46
2019-12-01,U142,asia,109.859
2020-01-01,U142,asia,111.155
2020-02-01,U142,asia,111.41
2020-03-01,U142,asia,110.836
2020-04-01,U142,asia,110.662
2020-05-01,U142,asia,110.33
2020-06-01,U142,asia,110.633
2020-07-01,U142,asia,111.129
2020-08-01,U142,asia,112.049
2020-09-01,U142,asia,112.5
2020-10-01,U142,asia,112.915
2020-11-01,U142,asia,112.916
2020-12-01,U142,asia,113.199
2021-01-01,U142,asia,114.077
2021-02-01,U142,asia,114.595
2021-03-01,U142,asia,114.553
2021-04-01,U142,asia,114.7
2021-05-01,U142,asia,115.027
2021-06-01,U142,asia,115.14
2021-07-01,U142,asia,115.686
2021-08-01,U142,asia,116.015
2021-09-01,U142,asia,116.389
2021-10-01,U142,asia,117.333
2021-11-01,U142,asia,118.08
2021-12-01,U142,asia,118.561
2022-01-01,U142,asia,119.431
2022-02-01,U142,asia,120.245
2022-03-01,U142,asia,121.008
2022-04-01,U142,asia,122.177
2022-05-01,U142,asia,122.674
2022-06-01,U142,asia,123.635
2022-07-01,U142,asia,124.503
2022-08-01,U142,asia,124.88
2022-09-01,U142,asia,125.555
2022-10-01,U142,asia,126.272
2022-11-01,U142,asia,126.463
2022-12-01,U142,asia,126.563
2023-01-01,U142,asia,127.927
2023-02-01,U142,asia,128.077
2023-03-01,U142,asia,128.402
2023-04-01,U142,asia,128.844
2023-05-01,U142,asia,129.027
2023-06-01,U142,asia,129.493
2023-07-01,U142,asia,130.901
2023-08-01,U142,asia,131.843
2023-09-01,U142,asia,132.238
2023-10-01,U142,asia,132.775
2023-11-01,U142,asia,132.886
2023-12-01,U142,asia,133.154
2024-01-01,U142,asia,133.882
2024-02-01,U142,asia,134.942
2024-03-01,U142,asia,134.834
2024-04-01,U142,asia,135.261
2024-05-01,U142,asia,135.665
2024-06-01,U142,asia,136.004
2024-07-01,U142,asia,137.038
2024-08-01,U142,asia,137.628
2024-09-01,U142,asia,137.989
2024-10-01,U142,asia,138.603
2024-11-01,U142,asia,138.534
2024-12-01,U142,asia,138.666
2025-01-01,U142,asia,139.146
2025-02-01,U142,asia,139.168
2025-03-01,U142,asia,139.519
2025-04-01,U142,asia,139.938
2025-05-01,U142,asia,140.194
2025-06-01,U142,asia,140.5
2025-07-01,U142,asia,141.329
2025-08-01,U142,asia,141.723
2025-09-01,U142,asia,142.22
2025-10-01,U142,asia,142.932
2025-11-01,U142,asia,143.158
2025-12-01,U142,asia,143.497
2026-01-01,U142,asia,143.689
2026-02-01,U142,asia,144.765
2026-03-01,U142,asia,145.084
2026-04-01,U142,asia,145.921
2011-01-01,U150,europe,85.476
2011-02-01,U150,europe,85.92
2011-03-01,U150,europe,86.535
2011-04-01,U150,europe,86.966
2011-05-01,U150,europe,87.192
2011-06-01,U150,europe,87.236
2011-07-01,U150,europe,87.154
2011-08-01,U150,europe,87.269
2011-09-01,U150,europe,87.546
2011-10-01,U150,europe,87.846
2011-11-01,U150,europe,88.082
2011-12-01,U150,europe,88.304
2012-01-01,U150,europe,88.172
2012-02-01,U150,europe,88.582
2012-03-01,U150,europe,89.114
2012-04-01,U150,europe,89.408
2012-05-01,U150,europe,89.466
2012-06-01,U150,europe,89.495
2012-07-01,U150,europe,89.635
2012-08-01,U150,europe,89.905
2012-09-01,U150,europe,90.21
2012-10-01,U150,europe,90.473
2012-11-01,U150,europe,90.473
2012-12-01,U150,europe,90.687
2013-01-01,U150,europe,90.442
2013-02-01,U150,europe,90.773
2013-03-01,U150,europe,91.166
2013-04-01,U150,europe,91.229
2013-05-01,U150,europe,91.424
2013-06-01,U150,europe,91.517
2013-07-01,U150,europe,91.618
2013-08-01,U150,europe,91.71
2013-09-01,U150,europe,91.79
2013-10-01,U150,europe,91.86
2013-11-01,U150,europe,91.909
2013-12-01,U150,europe,92.193
2014-01-01,U150,europe,91.936
2014-02-01,U150,europe,92.25
2014-03-01,U150,europe,92.677
2014-04-01,U150,europe,92.99
2014-05-01,U150,europe,93.166
2014-06-01,U150,europe,93.343
2014-07-01,U150,europe,93.328
2014-08-01,U150,europe,93.426
2014-09-01,U150,europe,93.59
2014-10-01,U150,europe,93.768
2014-11-01,U150,europe,93.864
2014-12-01,U150,europe,94.199
2015-01-01,U150,europe,94.322
2015-02-01,U150,europe,95.06
2015-03-01,U150,europe,95.793
2015-04-01,U150,europe,96.385
2015-05-01,U150,europe,96.645
2015-06-01,U150,europe,96.657
2015-07-01,U150,europe,96.61
2015-08-01,U150,europe,96.651
2015-09-01,U150,europe,96.68
2015-10-01,U150,europe,96.862
2015-11-01,U150,europe,96.832
2015-12-01,U150,europe,96.945
2016-01-01,U150,europe,96.619
2016-02-01,U150,europe,96.806
2016-03-01,U150,europe,97.305
2016-04-01,U150,europe,97.577
2016-05-01,U150,europe,97.889
2016-06-01,U150,europe,98.059
2016-07-01,U150,europe,98.073
2016-08-01,U150,europe,98.116
2016-09-01,U150,europe,98.191
2016-10-01,U150,europe,98.504
2016-11-01,U150,europe,98.509
2016-12-01,U150,europe,98.922
2017-01-01,U150,europe,98.861
2017-02-01,U150,europe,99.215
2017-03-01,U150,europe,99.482
2017-04-01,U150,europe,99.882
2017-05-01,U150,europe,99.959
2017-06-01,U150,europe,100.103
2017-07-01,U150,europe,100.113
2017-08-01,U150,europe,100.186
2017-09-01,U150,europe,100.305
2017-10-01,U150,europe,100.479
2017-11-01,U150,europe,100.551
2017-12-01,U150,europe,100.848
2018-01-01,U150,europe,100.688
2018-02-01,U150,europe,100.918
2018-03-01,U150,europe,101.334
2018-04-01,U150,europe,101.689
2018-05-01,U150,europe,102.133
2018-06-01,U150,europe,102.296
2018-07-01,U150,europe,102.369
2018-08-01,U150,europe,102.556
2018-09-01,U150,europe,102.684
2018-10-01,U150,europe,102.981
2018-11-01,U150,europe,102.894
2018-12-01,U150,europe,102.996
2019-01-01,U150,europe,102.815
2019-02-01,U150,europe,103.185
2019-03-01,U150,europe,103.636
2019-04-01,U150,europe,104.211
2019-05-01,U150,europe,104.402
2019-06-01,U150,europe,104.476
2019-07-01,U150,europe,104.524
2019-08-01,U150,europe,104.568
2019-09-01,U150,europe,104.498
2019-10-01,U150,europe,104.663
2019-11-01,U150,europe,104.599
2019-12-01,U150,europe,104.877
2020-01-01,U150,europe,104.76
2020-02-01,U150,europe,104.967
2020-03-01,U150,europe,105.151
2020-04-01,U150,europe,105.317
2020-05-01,U150,europe,105.33
2020-06-01,U150,europe,105.563
2020-07-01,U150,europe,105.517
2020-08-01,U150,europe,105.437
2020-09-01,U150,europe,105.388
2020-10-01,U150,europe,105.613
2020-11-01,U150,europe,105.677
2020-12-01,U150,europe,105.989
2021-01-01,U150,europe,106.637
2021-02-01,U150,europe,107.016
2021-03-01,U150,europe,107.617
2021-04-01,U150,europe,108.137
2021-05-01,U150,europe,108.532
2021-06-01,U150,europe,108.877
2021-07-01,U150,europe,109.153
2021-08-01,U150,europe,109.51
